Row Labels,Average of imdb_score,Average of tmdb_score,,,,,
['AE'],7.5,8,,,,,
"['AR', 'BR']",6.8,7.9,,,Titles,Directors,
['AR'],6.285714286,7.931142857,,,The Empire Strikes Back,Broni Likomanov,
['AT'],7.3,7.7,,,Star Wars,Nikos Dayandas,
"['AU', 'CA', 'FR', 'US']",6.9,6.951,,,The Lion King,Dean DeBlois,
"['AU', 'US']",5.9,6.456,,,WALLÂ·E,Chris Sanders,
['AU'],7.933333333,7.4445,,,Avengers: Infinity War,John Schultz,
"['BR', 'CA', 'DK', 'US']",7.5,7.2,,,Newsies,John Pasquin,
"['BR', 'US']",6.4,5.9,,,Avengers: Endgame,Luke Cormican,
['BR'],5.966666667,6.444333333,,,Hamilton,Don MacKinnon,
"['CA', 'DK', 'US']",6.4,6.658,,,Folklore: The Long Pond Studio Sessions,Victor Cook,
"['CA', 'FR', 'US', 'GB']",6.3,6.6,,,Coco,Lisa Schaffer,
"['CA', 'US', 'AU']",5.8,6.49,,,BTS: Permission to Dance on Stage - LA,Steve Loter,
"['CA', 'US']",6,6.838611111,,,Hubble's Cosmic Journey,Lisa Feit,
['CA'],5.511111111,6.2,,,Just Love and a Thousand Songs,Renan Ozturk,
"['CI', 'UG', 'US']",7.1,7,,,,,
['CL'],7.6,7.5,,,,,
"['CN', 'GB', 'US']",7.2,7.276,,,,,
"['CN', 'HK', 'US']",5.1,7.4,,,,,
['CN'],6.766666667,7.6,,,,,
['CO'],6.9,8.58,,,,,
"['DE', 'US']",7.8,7.862,,,,,
['DE'],7.666666667,7.6,,,,,
"['DK', 'US', 'CA']",5.85,6.4265,,,,,
"['ES', 'AR', 'IT']",5.3,7.3,,,,,
"['ES', 'CH', 'US', 'FR', 'MC']",7.7,7.4,,,,,
"['ES', 'CO']",7.9,7,,,,,
"['ES', 'US']",7.4,8.5,,,,,
['ES'],6,6,,,,,
"['FR', 'US']",6.175,6.125,,,,,
['FR'],6.9625,6.953875,,,,,
"['GB', 'BE', 'FR']",6.8,6.3,,,,,
"['GB', 'FR']",7,6.3,,,,,
"['GB', 'US', 'AU']",7.5,7.347,,,,,
"['GB', 'US', 'DE', 'IE']",5.8,5.9,,,,,
"['GB', 'US', 'DE']",6.15,5.944,,,,,
"['GB', 'US']",6.79375,6.9666875,,,,,
"['GB', 'ZA', 'DE', 'US', 'FR']",6.4,8.1,,,,,
['GB'],7.115789474,7.122736842,,,,,
"['IN', 'US']",6.65,6.6835,,,,,
['IN'],6.55,7.85,,,,,
['IT'],5.7,8.0835,,,,,
"['JP', 'US']",6.35,7.1935,,,,,
['JP'],6.666666667,7.033333333,,,,,
"['KR', 'US', 'FR']",6.3,7,,,,,
"['KR', 'US']",8.6,9.2,,,,,
['KR'],8.133333333,8.916333333,,,,,
"['MX', 'AR']",5.8,8.3,,,,,
"['MX', 'US', 'JP']",6.1,6.6,,,,,
['NL'],7.1,6.5,,,,,
"['NZ', 'US', 'GB']",9,8.397,,,,,
"['NZ', 'US']",6,5.767,,,,,
['PH'],6.8,6.6,,,,,
"['PL', 'SI', 'US', 'CZ']",6.5,6.6,,,,,
['PR'],8.3,7,,,,,
"['SE', 'US', 'NO']",6.5,6.5,,,,,
"['SK', 'US']",5.6,6.381,,,,,
['TR'],5.8,5.7,,,,,
['TW'],7.7,4.5,,,,,
"['US', 'AU']",5.4,6.4,,,,,
"['US', 'BE', 'GB']",6.7,6.804,,,,,
"['US', 'CA']",5.916666667,6.207777778,,,,,
"['US', 'CN']",5.7,6.918,,,,,
"['US', 'DE']",5.15,5.6865,,,,,
"['US', 'FR']",7.2,6.8,,,,,
"['US', 'GB', 'DE']",4.3,4.414,,,,,
"['US', 'GB']",6.6,6.6625,,,,,
"['US', 'GT']",6.6,9,,,,,
"['US', 'JP']",7,7.286,,,,,
"['US', 'KI']",7.2,7.2,,,,,
"['US', 'MX']",8.4,8.225,,,,,
"['US', 'NZ']",5.833333333,6.235,,,,,
['US'],6.610328185,6.864861004,,,,,
N/A,6.142857143,6.871428571,,,,,
(blank),,,,,,,
Grand Total,6.607436709,6.877189082,,,,,
